patch,l_lon,l_lat,r_lon,r_lat,lon,lat
12,14.134927465579,52.4464446498431,14.134927465579,52.4464436347915,14.134927465579,52.446444142317304
13,14.134975912172,52.4464446498431,14.134927465579,52.4464436347915,14.1349516888755,52.446444142317304
19,14.1356391110831,52.447146799891,14.1355913815411,52.4471443841182,14.1356152463121,52.4471455920046
20,14.1357695892189,52.4462651575204,14.1358117993211,52.4462642385048,14.13579069427,52.4462646980126
21,14.1361661431791,52.4456346956956,14.1361661431791,52.4456346956956,14.1361661431791,52.4456346956956
39,14.1380117516083,52.447322583756,14.1379661390282,52.4473205507857,14.137988945318249,52.44732156727085
40,14.1381129065845,52.4466828817237,14.138070348303,52.4466779371697,14.13809162744375,52.4466804094467
49,14.1388200057023,52.4473866551086,14.1387627123469,52.4473766820266,14.1387913590246,52.4473816685676
50,14.1391731912103,52.4467596656759,14.1391275826888,52.4467569676178,14.13915038694955,52.44675831664685
51,14.1393160186799,52.4458619683628,14.1393708662225,52.4458667368944,14.1393434424512,52.445864352628604
58,14.1400878600662,52.4474722900819,14.1400441031144,52.4474693402625,14.1400659815903,52.447470815172196
59,14.1402480263722,52.4465838871623,14.1402896806681,52.446588387301,14.140268853520151,52.44658613723165
60,14.1403661776804,52.4459299838342,14.1404352253734,52.4459361380497,14.1404007015269,52.445933060941954
65,14.1409100424516,52.4488377637282,14.1408581754686,52.4488356169868,14.1408841089601,52.448836690357496
66,14.1410275170701,52.4479457197083,14.1410689144778,52.4479496822257,14.14104821577395,52.447947700967
68,14.1412835891798,52.446915006831,14.1412373182334,52.4469106798078,14.1412604537066,52.446912843319396
73,14.1420135546861,52.4486678494348,14.1419705745611,52.4486677361272,14.1419920646236,52.448667792780995
74,14.1420847823757,52.4482741269307,14.1420440530372,52.4482761821573,14.14206441770645,52.448275154544
76,14.1420887740974,52.4467118054628,14.142138347899,52.4467154465968,14.142113560998201,52.4467136260298
81,14.1430318196077,52.4489994964437,14.142974382069,52.4489908891922,14.14300310083835,52.44899519281795
89,14.1439296675376,52.4484108169596,14.1438907832106,52.4484087527578,14.1439102253741,52.4484097848587
90,14.1443451185056,52.4475372225152,14.1443846518106,52.4475403153603,14.144364885158101,52.44753876893775
95,14.1452544441663,52.4485056897207,14.1452109753999,52.4485042877126,14.1452327097831,52.44850498871665
96,14.145117528019,52.4478434420057,14.1450736173837,52.4478404756398,14.14509557270135,52.44784195882275
102,14.146175750683,52.4479217745893,14.1461246832235,52.4479176748434,14.146150216953249,52.44791972471635
105,14.1472282216583,52.449302023468,14.1471831910601,52.4493014470453,14.1472057063592,52.449301735256654
110,14.148267644179,52.4493808165917,14.1482164804241,52.4493809611397,14.14824206230155,52.449380888865704
114,14.1493429202372,52.4494627039775,14.1492726323212,52.4494651481547,14.1493077762792,52.4494639260661
115,14.1494573940088,52.4488110366314,14.1494169434379,52.4488110514069,14.14943716872335,52.44881104401915
119,14.1505193432955,52.4488939826935,14.1504667936052,52.4488906145372,14.15049306845035,52.44889229861535
