patch,lon,lat,cluster
12,14.134927465579,52.4464441423173,5
13,14.1349516888755,52.4464441423173,5
19,14.1356152463121,52.4471455920046,5
20,14.13579069427,52.4462646980126,5
21,14.1361661431791,52.4456346956956,5
39,14.137988945318249,52.44732156727085,2
40,14.13809162744375,52.4466804094467,2
49,14.1387913590246,52.4473816685676,2
50,14.13915038694955,52.44675831664685,2
51,14.1393434424512,52.44586435262861,4
58,14.1400659815903,52.4474708151722,4
59,14.140268853520151,52.44658613723165,4
60,14.1404007015269,52.445933060941954,4
65,14.1408841089601,52.448836690357496,0
66,14.14104821577395,52.447947700967,0
68,14.1412604537066,52.4469128433194,4
73,14.1419920646236,52.448667792781,0
74,14.14206441770645,52.448275154544,0
76,14.1421135609982,52.4467136260298,4
81,14.14300310083835,52.44899519281795,0
89,14.1439102253741,52.4484097848587,3
90,14.1443648851581,52.44753876893775,3
95,14.1452327097831,52.44850498871665,3
96,14.14509557270135,52.44784195882275,3
102,14.146150216953249,52.44791972471635,3
105,14.1472057063592,52.449301735256654,1
110,14.14824206230155,52.4493808888657,1
114,14.1493077762792,52.4494639260661,1
115,14.14943716872335,52.44881104401915,1
119,14.15049306845035,52.44889229861535,1
